,Unnamed: 0,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Tên xe,Giá xe,Nhãn hiệu,Mẫu xe,Nhiên liệu,Dung tích
0,0,2016,Xe đã dùng,86000,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Vios 1.5E ,268000000,Toyota,Vios 1.5E ,Xăng,1.5
1,2,2015,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Toyota Camry 2.5Q ,605000000,Toyota,Camry 2.5Q ,Xăng,2.5
2,3,2013,Xe đã dùng,79000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Màu khác,Màu khác,5,5,FWD - Dẫn động cầu trước,Mazda CX5 2.0 AT ,455000000,Mazda,CX5 2.0 AT ,Xăng,2.0
3,4,2019,Xe đã dùng,65000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.2 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Ford Ranger XLS 2.2L 4x2 AT ,525000000,Ford,Ranger XLS 2.2L 4x2 AT ,Dầu,2.2
4,5,2011,Xe đã dùng,135000,Lắp ráp trong nước,SUV,Số tay,Dầu 2.5 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.5G ,445000000,Toyota,Fortuner 2.5G ,Dầu,2.5
5,6,2021,Xe đã dùng,20000,Nhập khẩu,Sedan,Số tự động,Xăng 2.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Camry 2.5Q ,1050000000,Toyota,Camry 2.5Q ,Xăng,2.5
6,7,2019,Xe đã dùng,50000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.25 L,Nhiều màu,Nhiều màu,5,4,FWD - Dẫn động cầu trước,Hyundai i10 Grand 1.2 AT ,335000000,Hyundai,i10 Grand 1.2 AT ,Xăng,1.25
7,9,2021,Xe đã dùng,9000,Lắp ráp trong nước,Van/Minivan,Số tự động,Xăng 2.0 L,Kem,Kem,7,5,FWD - Dẫn động cầu trước,Ford Tourneo Titanium 2.0 AT ,830000000,Ford,Tourneo Titanium 2.0 AT ,Xăng,2.0
8,10,2021,Xe đã dùng,73000,Nhập khẩu,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,7,5,FWD - Dẫn động cầu trước,Suzuki XL7 1.5 AT ,469000000,Suzuki,XL7 1.5 AT ,Xăng,1.5
9,13,2020,Xe đã dùng,35000,Nhập khẩu,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Honda Civic RS 1.5 AT ,620000000,Honda,Civic RS 1.5 AT ,Xăng,1.5
10,14,2012,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Kem,Kem,5,5,AWD - 4 bánh toàn thời gian,Lexus RX 350 AWD ,1350000000,Lexus,RX 350 AWD ,Xăng,3.5
11,15,2018,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz C class C300 AMG ,999000000,Mercedes,Benz C class C300 AMG ,Xăng,2.0
12,16,2021,Xe đã dùng,26000,Nhập khẩu,SUV,Số tự động,Xăng 1.0 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Toyota Raize G 1.0 CVT ,530000000,Toyota,Raize G 1.0 CVT ,Xăng,1.0
13,18,2020,Xe đã dùng,45000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Đen,Đen,5,4,4WD - Dẫn động 4 bánh,Ford Ranger Wildtrak 2.0L 4x4 AT ,698000000,Ford,Ranger Wildtrak 2.0L 4x4 AT ,Dầu,2.0
14,19,2016,Xe đã dùng,82000,Lắp ráp trong nước,Crossover,Số tay,Xăng 2.0 L,Kem,Kem,8,5,RFD - Dẫn động cầu sau,Toyota Innova 2.0E ,389000000,Toyota,Innova 2.0E ,Xăng,2.0
15,25,2019,Xe đã dùng,30000,Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Nâu,Nâu,5,4,AWD - 4 bánh toàn thời gian,BMW X4 xDrive20i ,1790000000,BMW,X4 xDrive20i ,Xăng,2.0
16,26,2016,Xe đã dùng,60000,Nhập khẩu,Van/Minivan,Số tự động,Xăng 2.0 L,Xanh,Xanh,7,5,RFD - Dẫn động cầu sau,Mercedes Benz V class V250 Avantgarde ,1780000000,Mercedes,Benz V class V250 Avantgarde ,Xăng,2.0
17,28,2021,Xe đã dùng,41000,Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đen,Đen,7,5,AWD - 4 bánh toàn thời gian,LandRover Discovery Sport SE ,1850000000,LandRover,Discovery Sport SE ,Xăng,2.0
18,29,2023,Xe đã dùng,180,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Cao cấp 2.2L HTRAC ,1330000000,Hyundai,SantaFe Cao cấp 2.2L HTRAC ,Dầu,2.2
19,30,2021,Xe đã dùng,25000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda CX5 Premium 2.0 AT ,795000000,Mazda,CX5 Premium 2.0 AT ,Xăng,2.0
20,31,2019,Xe đã dùng,40000,Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.6 L,Kem,Kem,5,5,FWD - Dẫn động cầu trước,Hyundai Tucson 1.6 AT Turbo ,715000000,Hyundai,Tucson 1.6 AT Turbo ,Xăng,1.6
21,32,2019,Xe đã dùng,30000,Nhập khẩu,Van/Minivan,Số tự động,Xăng 2.0 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Mercedes Benz V class V250 Luxury ,1739000000,Mercedes,Benz V class V250 Luxury ,Xăng,2.0
22,33,2019,Xe đã dùng,50000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Ford Focus Sport 1.5L ,559000000,Ford,Focus Sport 1.5L ,Xăng,1.5
23,34,2018,Xe đã dùng,70000,Nhập khẩu,SUV,Số tự động,Dầu 2.8 L,Đen,Đen,7,5,AWD - 4 bánh toàn thời gian,Chevrolet Trailblazer LTZ 2.8L 4x4 AT ,599000000,Chevrolet,Trailblazer LTZ 2.8L 4x4 AT ,Dầu,2.8
24,35,2014,Xe đã dùng,144000,Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Kem,Kem,7,5,FWD - Dẫn động cầu trước,Toyota Highlander LE 2.7 ,899000000,Toyota,Highlander LE 2.7 ,Xăng,2.7
25,36,2018,Xe đã dùng,16000,Nhập khẩu,SUV,Số tự động,Dầu 2.4 L,Màu khác,Màu khác,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.4G 4x2 AT ,875000000,Toyota,Fortuner 2.4G 4x2 AT ,Dầu,2.4
26,38,2021,Xe đã dùng,20000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Cao cấp 2.5L HTRAC ,1060000000,Hyundai,SantaFe Cao cấp 2.5L HTRAC ,Xăng,2.5
27,39,2017,Xe đã dùng,58000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda CX5 2.5 AT 2WD ,599000000,Mazda,CX5 2.5 AT 2WD ,Xăng,2.5
28,40,2008,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng 3.7 L,Kem,Kem,7,5,AWD - 4 bánh toàn thời gian,Acura MDX SH-AWD ,320000000,Acura,MDX SH-AWD ,Xăng,3.7
29,42,2022,Xe đã dùng,39000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Honda City RS 1.5 AT ,550000000,Honda,City RS 1.5 AT ,Xăng,1.5
30,43,2011,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Kem,Kem,5,5,AWD - 4 bánh toàn thời gian,Lexus RX 350 AWD ,1020000000,Lexus,RX 350 AWD ,Xăng,3.5
31,44,2022,Xe đã dùng,4000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Nâu,Nâu,7,5,FWD - Dẫn động cầu trước,Hyundai SantaFe Tiêu chuẩn 2.5L ,990000000,Hyundai,SantaFe Tiêu chuẩn 2.5L ,Xăng,2.5
32,45,2009,Xe đã dùng,110000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz E class E250 ,295000000,Mercedes,Benz E class E250 ,Xăng,1.8
33,46,2020,Xe đã dùng,40000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Kia Optima 2.0 AT Luxury ,595000000,Kia,Optima 2.0 AT Luxury ,Xăng,2.0
34,47,2007,Xe đã dùng,74000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Nhiều màu,Nhiều màu,5,4,FWD - Dẫn động cầu trước,Honda Civic 1.8 AT ,249000000,Honda,Civic 1.8 AT ,Xăng,1.8
35,48,2022,Xe đã dùng,8200,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đen,Đen,7,5,FWD - Dẫn động cầu trước,Mazda CX8 Premium ,985000000,Mazda,CX8 Premium ,Xăng,2.5
36,49,2021,Xe đã dùng,60000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Đen,Đen,5,4,4WD - Dẫn động 4 bánh,Ford Ranger Wildtrak 2.0L 4x4 AT ,720000000,Ford,Ranger Wildtrak 2.0L 4x4 AT ,Dầu,2.0
37,50,2021,Xe đã dùng,30000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Kem,Kem,5,5,AWD - 4 bánh toàn thời gian,Mercedes Benz GLC 200 4Matic ,1590000000,Mercedes,Benz GLC 200 4Matic ,Xăng,2.0
38,51,2019,Xe đã dùng,40000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.6 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Kia Cerato 1.6 AT Luxury ,499000000,Kia,Cerato 1.6 AT Luxury ,Xăng,1.6
39,52,2022,Xe đã dùng,20000,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.4 L,Đen,Đen,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.4L 4x2 AT ,1020000000,Toyota,Fortuner 2.4L 4x2 AT ,Dầu,2.4
40,53,2021,Xe đã dùng,44000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Vios E CVT ,439000000,Toyota,Vios E CVT ,Xăng,1.5
41,54,2019,Xe đã dùng,64000,Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Đen,Đen,7,5,RFD - Dẫn động cầu sau,Ford Everest Titanium 2.0L 4x2 AT ,868000000,Ford,Everest Titanium 2.0L 4x2 AT ,Dầu,2.0
42,55,2022,Xe đã dùng,28000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Vios G 1.5 CVT ,495000000,Toyota,Vios G 1.5 CVT ,Xăng,1.5
43,56,2022,Xe đã dùng,17000,Lắp ráp trong nước,SUV,Số tự động,Điện 0.2 L,Nâu,Nâu,5,5,AWD - 4 bánh toàn thời gian,VinFast VF8 Plus ,870000000,VinFast,VF8 Plus ,Điện,0.2
44,57,2022,Xe đã dùng,30000,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Cao cấp 2.2L HTRAC ,1210000000,Hyundai,SantaFe Cao cấp 2.2L HTRAC ,Dầu,2.2
45,58,2018,Xe đã dùng,80000,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Màu khác,Màu khác,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Premium 2.2L HTRAC ,765000000,Hyundai,SantaFe Premium 2.2L HTRAC ,Dầu,2.2
46,59,2014,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Toyota Camry 2.5Q ,559000000,Toyota,Camry 2.5Q ,Xăng,2.5
47,61,2022,Xe đã dùng,36000,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.4 L,Đen,Đen,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.4L 4x2 AT ,1015000000,Toyota,Fortuner 2.4L 4x2 AT ,Dầu,2.4
48,62,2021,Xe đã dùng,34000,Nhập khẩu,Hatchback,Số tự động,Xăng 1.2 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Honda Brio RS ,395000000,Honda,Brio RS ,Xăng,1.2
49,63,2021,Xe đã dùng,0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Màu khác,Màu khác,5,4,4WD - Dẫn động 4 bánh,Ford Ranger Raptor 2.0L 4x4 AT ,965000000,Ford,Ranger Raptor 2.0L 4x4 AT ,Dầu,2.0
50,64,2015,Xe đã dùng,76000,Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Kem,Kem,5,4,RFD - Dẫn động cầu sau,BMW 3 Series 320i ,569000000,BMW,3 Series 320i ,Xăng,2.0
51,65,2021,Xe đã dùng,13000,Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Nâu,Nâu,5,4,RFD - Dẫn động cầu sau,BMW 5 Series 520i Luxury ,1778000000,BMW,5 Series 520i Luxury ,Xăng,2.0
52,66,2022,Xe đã dùng,10000,Nhập khẩu,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,7,5,FWD - Dẫn động cầu trước,Mitsubishi Xpander Premium 1.5 AT ,605000000,Mitsubishi,Xpander Premium 1.5 AT ,Xăng,1.5
53,67,2018,Xe đã dùng,22022,Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5,4,AWD - 4 bánh toàn thời gian,Mercedes Benz CLA class CLA 45 AMG 4Matic ,1199000000,Mercedes,Benz CLA class CLA 45 AMG 4Matic ,Xăng,2.0
54,69,2019,Xe đã dùng,60000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Đen,Đen,5,4,4WD - Dẫn động 4 bánh,Ford Ranger Raptor 2.0L 4x4 AT ,890000000,Ford,Ranger Raptor 2.0L 4x4 AT ,Dầu,2.0
55,70,2022,Xe đã dùng,35206,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.4 L,Nhiều màu,Nhiều màu,5,4,FWD - Dẫn động cầu trước,Hyundai Accent 1.4 MT Tiêu Chuẩn ,368000000,Hyundai,Accent 1.4 MT Tiêu Chuẩn ,Xăng,1.4
56,73,2018,Xe đã dùng,78000,Lắp ráp trong nước,Sedan,Số tự động,Hybrid 1.5 L,Kem,Kem,5,4,RFD - Dẫn động cầu sau,Mercedes Benz C class C200 Exclusive ,935000000,Mercedes,Benz C class C200 Exclusive ,Hybrid,1.5
57,75,2019,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.6 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Kia Cerato 1.6 AT Luxury ,519000000,Kia,Cerato 1.6 AT Luxury ,Xăng,1.6
58,76,2019,Xe đã dùng,36000,Nhập khẩu,Hatchback,Số tự động,Xăng 1.2 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Suzuki Swift GLX 1.2 AT ,415000000,Suzuki,Swift GLX 1.2 AT ,Xăng,1.2
59,77,2021,Xe đã dùng,18000,Lắp ráp trong nước,Crossover,Số tự động,Xăng 2.0 L,Kem,Kem,5,5,FWD - Dẫn động cầu trước,Hyundai Tucson 2.0 AT Tiêu chuẩn ,695000000,Hyundai,Tucson 2.0 AT Tiêu chuẩn ,Xăng,2.0
60,79,2022,Xe đã dùng,9900,Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Đỏ,Đỏ,5,5,FWD - Dẫn động cầu trước,Toyota Corolla Cross 1.8V ,835000000,Toyota,Corolla Cross 1.8V ,Xăng,1.8
61,80,2007,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.5 L,Nâu,Nâu,5,4,FWD - Dẫn động cầu trước,Toyota Vios G ,135000000,Toyota,Vios G ,Xăng,1.5
62,81,2018,Xe đã dùng,42000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda CX5 2.5 AT 2WD ,650000000,Mazda,CX5 2.5 AT 2WD ,Xăng,2.5
63,82,2019,Xe đã dùng,26000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Kem,Kem,7,5,FWD - Dẫn động cầu trước,Kia Sedona 2.2 DAT Luxury ,865000000,Kia,Sedona 2.2 DAT Luxury ,Dầu,2.2
64,83,2020,Xe đã dùng,60000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Premium 2.4L HTRAC ,899000000,Hyundai,SantaFe Premium 2.4L HTRAC ,Xăng,2.4
65,84,2014,Xe đã dùng,110000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Kem,Kem,5,4,RFD - Dẫn động cầu sau,Mercedes Benz S class S400L ,1190000000,Mercedes,Benz S class S400L ,Xăng,3.0
66,85,2020,Xe đã dùng,40000,Nhập khẩu,Sedan,Số tự động,Xăng 2.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Toyota Camry 2.5Q ,945000000,Toyota,Camry 2.5Q ,Xăng,2.5
67,86,2022,Xe đã dùng,46000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Cao cấp 2.5L HTRAC ,1110000000,Hyundai,SantaFe Cao cấp 2.5L HTRAC ,Xăng,2.5
68,88,2013,Xe đã dùng,150000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.7 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.7V 4x2 AT ,425000000,Toyota,Fortuner 2.7V 4x2 AT ,Xăng,2.7
69,89,2015,Xe đã dùng,86000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Ghi,Ghi,5,4,FWD - Dẫn động cầu trước,Ford Fiesta Titanium 1.5 AT ,303000000,Ford,Fiesta Titanium 1.5 AT ,Xăng,1.5
70,90,2021,Xe đã dùng,65000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,VinFast Lux SA 2.0 Premium 2.0 AT ,845000000,VinFast,Lux SA 2.0 Premium 2.0 AT ,Xăng,2.0
71,91,2023,Xe đã dùng,23000,Lắp ráp trong nước,SUV,Số tay,Xăng 1.5 L,Đen,Đen,7,5,FWD - Dẫn động cầu trước,Mitsubishi Xpander 1.5 MT ,505000000,Mitsubishi,Xpander 1.5 MT ,Xăng,1.5
72,92,2022,Xe đã dùng,32000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.4 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Hyundai Accent 1.4 AT Đặc Biệt ,499000000,Hyundai,Accent 1.4 AT Đặc Biệt ,Xăng,1.4
73,93,2020,Xe đã dùng,65000,Nhập khẩu,Sedan,Số tay,Xăng 1.2 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Mitsubishi Attrage 1.2 MT ,268000000,Mitsubishi,Attrage 1.2 MT ,Xăng,1.2
74,96,2013,Xe đã dùng,81500,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Vios 1.5G ,318000000,Toyota,Vios 1.5G ,Xăng,1.5
75,97,2022,Xe đã dùng,33000,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Cao cấp 2.2L HTRAC ,1195000000,Hyundai,SantaFe Cao cấp 2.2L HTRAC ,Dầu,2.2
76,99,2016,Xe đã dùng,50000,Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Audi A4 2.0 TFSI ,690000000,Audi,A4 2.0 TFSI ,Xăng,2.0
77,100,2021,Xe đã dùng,31000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,VinFast Lux SA 2.0 Premium 2.0 AT ,870000000,VinFast,Lux SA 2.0 Premium 2.0 AT ,Xăng,2.0
78,101,2011,Xe đã dùng,150000,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu 2.5 L,Nhiều màu,Nhiều màu,5,4,4WD - Dẫn động 4 bánh,Mitsubishi Triton GLS 4x4 MT ,245000000,Mitsubishi,Triton GLS 4x4 MT ,Dầu,2.5
79,104,2018,Xe đã dùng,7299,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Nâu,Nâu,5,4,RFD - Dẫn động cầu sau,Mercedes Benz E class E250 ,1239000000,Mercedes,Benz E class E250 ,Xăng,2.0
80,105,2019,Xe đã dùng,6,Lắp ráp trong nước,Crossover,Số tự động,Xăng 2.0 L,Nâu,Nâu,8,5,RFD - Dẫn động cầu sau,Toyota Innova 2.0G ,625000000,Toyota,Innova 2.0G ,Xăng,2.0
81,107,2020,Xe đã dùng,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.4 L,Kem,Kem,5,5,FWD - Dẫn động cầu trước,Kia Seltos Premium 1.4 AT ,535000000,Kia,Seltos Premium 1.4 AT ,Xăng,1.4
82,109,2016,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Kem,Kem,5,4,RFD - Dẫn động cầu sau,Mercedes Benz C class C200 ,675000000,Mercedes,Benz C class C200 ,Xăng,2.0
83,111,2010,Xe đã dùng,120000,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.5 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Ford Everest 2.5L 4x2 AT ,320000000,Ford,Everest 2.5L 4x2 AT ,Dầu,2.5
84,112,2023,Xe đã dùng,7000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.4 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Hyundai Accent 1.4 AT Đặc Biệt ,522000000,Hyundai,Accent 1.4 AT Đặc Biệt ,Xăng,1.4
85,113,2016,Xe đã dùng,120000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda CX5 2.5 AT ,515000000,Mazda,CX5 2.5 AT ,Xăng,2.5
86,114,2019,Xe đã dùng,84567,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Vios 1.5E MT ,339000000,Toyota,Vios 1.5E MT ,Xăng,1.5
87,115,2015,Xe đã dùng,110000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Honda CRV 2.4 AT ,560000000,Honda,CRV 2.4 AT ,Xăng,2.4
88,116,2006,Xe đã dùng,0,Lắp ráp trong nước,Crossover,Số tay,Xăng 2.0 L,Kem,Kem,8,5,RFD - Dẫn động cầu sau,Toyota Innova G ,195000000,Toyota,Innova G ,Xăng,2.0
89,117,2017,Xe đã dùng,110000,Nhập khẩu,Hatchback,Số tự động,Xăng 1.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Honda Jazz V ,339000000,Honda,Jazz V ,Xăng,1.5
90,118,2022,Xe đã dùng,23000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.4 L,Nhiều màu,Nhiều màu,5,4,FWD - Dẫn động cầu trước,Hyundai Accent 1.4 AT Đặc Biệt ,468000000,Hyundai,Accent 1.4 AT Đặc Biệt ,Xăng,1.4
91,119,2022,Xe đã dùng,11000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Mazda 3 1.5L Luxury ,615000000,Mazda,3 1.5L Luxury ,Xăng,1.5
92,120,2019,Xe đã dùng,45000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Honda City 1.5TOP ,439000000,Honda,City 1.5TOP ,Xăng,1.5
93,121,2005,Xe đã dùng,155555,Lắp ráp trong nước,SUV,Số tay,Xăng 4.5 L,Ghi,Ghi,8,5,4WD - Dẫn động 4 bánh,Toyota Land Cruiser GX 4.5 ,689000000,Toyota,Land Cruiser GX 4.5 ,Xăng,4.5
94,122,2007,Xe đã dùng,120000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz C class C200 Elegance ,275000000,Mercedes,Benz C class C200 Elegance ,Xăng,1.8
95,124,2023,Xe đã dùng,0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Đen,Đen,5,4,4WD - Dẫn động 4 bánh,Ford Ranger Raptor 2.0L 4x4 AT ,1289000000,Ford,Ranger Raptor 2.0L 4x4 AT ,Dầu,2.0
96,125,2018,Xe đã dùng,60000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Ford Focus Trend 1.5L ,410000000,Ford,Focus Trend 1.5L ,Xăng,1.5
97,127,2013,Xe đã dùng,103000,Nhập khẩu,SUV,Số tự động,Dầu 3.0 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Mercedes Benz GL GL 350 CDI 4Matic ,1280000000,Mercedes,Benz GL GL 350 CDI 4Matic ,Dầu,3.0
98,128,2023,Xe đã dùng,16000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Cao cấp 2.5L HTRAC ,1230000000,Hyundai,SantaFe Cao cấp 2.5L HTRAC ,Xăng,2.5
99,130,2020,Xe đã dùng,25000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.25 L,Ghi,Ghi,5,5,FWD - Dẫn động cầu trước,Kia Morning Luxury ,340000000,Kia,Morning Luxury ,Xăng,1.25
100,131,2019,Xe đã dùng,19600,Nhập khẩu,Hatchback,Số tự động,Xăng 1.5 L,Kem,Kem,5,5,FWD - Dẫn động cầu trước,Toyota Yaris 1.5G ,498000000,Toyota,Yaris 1.5G ,Xăng,1.5
101,132,2020,Xe đã dùng,25000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.4 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,VinFast Fadil 1.4 AT Plus ,325000000,VinFast,Fadil 1.4 AT Plus ,Xăng,1.4
102,135,2019,Xe đã dùng,40000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz C class C200 ,890000000,Mercedes,Benz C class C200 ,Xăng,1.5
