,Unnamed: 0,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Tên xe,Giá xe,Nhãn hiệu,Mẫu xe,Nhiên liệu,Dung tích
4657,6139,2019,Xe đã dùng,67000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Vios 1.5G ,420000000,Toyota,Vios 1.5G ,Xăng,1.5
4658,6140,2019,Xe đã dùng,70000,Nhập khẩu,SUV,Số tay,Xăng 1.5 L,Nhiều màu,Nhiều màu,7,5,FWD - Dẫn động cầu trước,Mitsubishi Xpander 1.5 MT ,420000000,Mitsubishi,Xpander 1.5 MT ,Xăng,1.5
4659,6141,2013,Xe đã dùng,160000,Nhập khẩu,Van/Minivan,Số tay,Dầu 2.1 L,Ghi,Ghi,3,4,RFD - Dẫn động cầu sau,Mercedes Benz Vito 111 CDI Van ,235000000,Mercedes,Benz Vito 111 CDI Van ,Dầu,2.1
4660,6142,2019,Xe đã dùng,42000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.6 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Kia Cerato 1.6 AT Deluxe ,450000000,Kia,Cerato 1.6 AT Deluxe ,Xăng,1.6
4661,6144,2021,Xe đã dùng,36000,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Cao cấp 2.2L HTRAC ,1155000000,Hyundai,SantaFe Cao cấp 2.2L HTRAC ,Dầu,2.2
4662,6145,2022,Xe đã dùng,28000,Lắp ráp trong nước,Crossover,Số tự động,Xăng 2.0 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Hyundai Tucson 2.0 AT Đặc biệt ,859000000,Hyundai,Tucson 2.0 AT Đặc biệt ,Xăng,2.0
4663,6146,2020,Xe đã dùng,50000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Kem,Kem,5,5,AWD - 4 bánh toàn thời gian,Mercedes Benz GLC 300 4Matic ,1699000000,Mercedes,Benz GLC 300 4Matic ,Xăng,2.0
4664,6147,2022,Xe đã dùng,19000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.4 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,VinFast Fadil Tiêu chuẩn 1.4 AT ,338000000,VinFast,Fadil Tiêu chuẩn 1.4 AT ,Xăng,1.4
4665,6148,2022,Xe đã dùng,35000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.4 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,VinFast Fadil Nâng cao 1.4 AT ,348000000,VinFast,Fadil Nâng cao 1.4 AT ,Xăng,1.4
4666,6151,2018,Xe đã dùng,42000,Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Ford EcoSport Titanium 1.5L AT ,428000000,Ford,EcoSport Titanium 1.5L AT ,Xăng,1.5
4667,6154,2020,Xe đã dùng,29000,Nhập khẩu,Hatchback,Số tự động,Xăng 1.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda 2 Sport Premium ,418000000,Mazda,2 Sport Premium ,Xăng,1.5
4668,6155,2019,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.25 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Hyundai i10 Grand 1.2 AT ,325000000,Hyundai,i10 Grand 1.2 AT ,Xăng,1.25
4669,6156,2010,Xe đã dùng,16000,Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Honda CRV 2.0 AT ,260000000,Honda,CRV 2.0 AT ,Xăng,2.0
4670,6157,2018,Xe đã dùng,46000,Nhập khẩu,Sedan,Số tự động,Xăng 1.6 L,Kem,Kem,5,4,RFD - Dẫn động cầu sau,BMW 5 Series 520i ,1195000000,BMW,5 Series 520i ,Xăng,1.6
4671,6158,2016,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.5 L,Màu khác,Màu khác,5,4,FWD - Dẫn động cầu trước,Chevrolet Aveo LT 1.5 MT ,160000000,Chevrolet,Aveo LT 1.5 MT ,Xăng,1.5
4672,6159,2020,Xe đã dùng,16000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.25 L,Bạc,Bạc,5,5,FWD - Dẫn động cầu trước,Kia Morning AT ,288000000,Kia,Morning AT ,Xăng,1.25
4673,6160,2019,Xe đã dùng,0,Nhập khẩu,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Mazda 2 Luxury ,389000000,Mazda,2 Luxury ,Xăng,1.5
4674,6162,2018,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Nâu,Nâu,5,4,FWD - Dẫn động cầu trước,Ford Focus Trend 1.5L ,405000000,Ford,Focus Trend 1.5L ,Xăng,1.5
4675,6163,2022,Xe đã dùng,19000,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.25 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Hyundai i10 1.2 MT ,355000000,Hyundai,i10 1.2 MT ,Xăng,1.25
4676,6164,2018,Xe đã dùng,63000,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.4 L,Nhiều màu,Nhiều màu,5,4,FWD - Dẫn động cầu trước,Hyundai Accent 1.4 MT Base ,289000000,Hyundai,Accent 1.4 MT Base ,Xăng,1.4
4677,6165,2019,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.4 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Hyundai Accent 1.4 AT ,388000000,Hyundai,Accent 1.4 AT ,Xăng,1.4
4678,6166,2021,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda CX5 Premium 2.0 AT ,765000000,Mazda,CX5 Premium 2.0 AT ,Xăng,2.0
4679,6168,2021,Xe đã dùng,47000,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Kem,Kem,6,5,AWD - 4 bánh toàn thời gian,Kia Sorento Signature 2.2 AT AWD ,950000000,Kia,Sorento Signature 2.2 AT AWD ,Dầu,2.2
4680,6169,2022,Xe đã dùng,25000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Màu khác,Màu khác,5,4,FWD - Dẫn động cầu trước,Mazda 3 1.5L Luxury ,575000000,Mazda,3 1.5L Luxury ,Xăng,1.5
4681,6171,2011,Xe đã dùng,160000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Kem,Kem,5,4,RFD - Dẫn động cầu sau,Mercedes Benz E class E250 ,390000000,Mercedes,Benz E class E250 ,Xăng,1.8
4682,6172,2022,Xe đã dùng,20000,Nhập khẩu,Sedan,Số tự động,Xăng 1.5 L,Nhiều màu,Nhiều màu,5,4,FWD - Dẫn động cầu trước,Honda Civic G 1.5 AT ,695000000,Honda,Civic G 1.5 AT ,Xăng,1.5
4683,6173,2015,Xe đã dùng,0,Nhập khẩu,Sedan,Số tự động,Xăng 1.6 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Mercedes Benz CLA class CLA 200 ,499000000,Mercedes,Benz CLA class CLA 200 ,Xăng,1.6
